Date,Amount Paid (P)
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-07,5
2027-09-07,5
